feature_name,feature_category,importance_pre,importance_post,importance_change_pct,rank_pre,rank_post,drivetime,description
health_hospital_x_post,other,0.2310083969339595,0.2310083969339595,0.0,1,1,NA,health_hospital_x_post
is_post_covid,other,0.11223741372592876,0.11223741372592876,0.0,2,2,NA,is_post_covid
rent_percentile,housing,0.08137984397536356,0.08137984397536356,0.0,3,3,NA,rent_percentile
mrkt_name_te,other,0.07908863541135036,0.07908863541135036,0.0,4,4,NA,mrkt_name_te
age_x_post,property,0.07714476484535948,0.07714476484535948,0.0,5,5,NA,age_x_post
is_pre_covid,other,0.04420068638238107,0.04420068638238107,0.0,6,6,NA,is_pre_covid
state_te,location,0.024832667284063907,0.024832667284063907,0.0,7,7,NA,state_te
aarp_met_health_hospital,livability,0.021879771387165778,0.021879771387165778,0.0,8,8,NA,aarp_met_health_hospital
zip_metro,other,0.020878033789041035,0.020878033789041035,0.0,9,9,NA,zip_metro
aarp_met_house_access_step,livability,0.018920062814729303,0.018920062814729303,0.0,10,10,NA,aarp_met_house_access_step
is_sunbelt,other,0.017236745028245244,0.017236745028245244,0.0,11,11,NA,is_sunbelt
type_main_te,other,0.016833021848091823,0.016833021848091823,0.0,12,12,NA,type_main_te
aarp_met_health_smoke,livability,0.014875316817609263,0.014875316817609263,0.0,13,13,NA,aarp_met_health_smoke
healthcare_access,other,0.0148596002638784,0.0148596002638784,0.0,14,14,NA,healthcare_access
yearbuilt,property,0.014320169914700686,0.014320169914700686,0.0,15,15,NA,yearbuilt
numunits,other,0.013755725715832286,0.013755725715832286,0.0,16,16,NA,numunits
aarp_met_health_obese,livability,0.012673389037482352,0.012673389037482352,0.0,17,17,NA,aarp_met_health_obese
aarp_met_env_air,livability,0.009790841344178527,0.009790841344178527,0.0,18,18,NA,aarp_met_env_air
aarp_met_house_burden,livability,0.009155685355614042,0.009155685355614042,0.0,19,19,NA,aarp_met_house_burden
aarp_met_trans_delay,livability,0.008945140128294211,0.008945140128294211,0.0,20,20,NA,aarp_met_trans_delay
ownrent_avg_rent,housing,0.008317113017233488,0.008317113017233488,0.0,21,21,NA,ownrent_avg_rent
aarp_score_health,livability,0.006609025333024503,0.006609025333024503,0.0,22,22,NA,aarp_score_health
property_age,property,0.006223491652202419,0.006223491652202419,0.0,23,23,NA,property_age
age_squared,property,0.006104502100923658,0.006104502100923658,0.0,24,24,NA,age_squared
aarp_met_opp_income,livability,0.0060440977581588656,0.0060440977581588656,0.0,25,25,NA,aarp_met_opp_income
aarp_met_prox_auto,livability,0.005749782562277729,0.005749782562277729,0.0,26,26,NA,aarp_met_prox_auto
aarp_met_opp_jobs,livability,0.005194329714167653,0.005194329714167653,0.0,27,27,NA,aarp_met_opp_jobs
aarp_met_trans_access,livability,0.004910885226468607,0.004910885226468607,0.0,28,28,NA,aarp_met_trans_access
aarp_met_house_cost,livability,0.004628325046412187,0.004628325046412187,0.0,29,29,NA,aarp_met_house_cost
aarp_met_prox_trans,livability,0.004364828584270218,0.004364828584270218,0.0,30,30,NA,aarp_met_prox_trans
food_count_cafe,amenity_food,0.004249265780123859,0.004249265780123859,0.0,31,31,NA,food_count_cafe
aarp_met_engage_social,livability,0.004238005260041187,0.004238005260041187,0.0,32,32,NA,aarp_met_engage_social
aarp_score_trans,livability,0.004191556436809014,0.004191556436809014,0.0,33,33,NA,aarp_score_trans
years_since_renov,property,0.004114719505740019,0.004114719505740019,0.0,34,34,NA,years_since_renov
food_count_sit_down,amenity_food,0.004005059274398274,0.004005059274398274,0.0,35,35,NA,food_count_sit_down
aarp_met_health_exercise,livability,0.0036106613567866,0.0036106613567866,0.0,36,36,NA,aarp_met_health_exercise
age_log,property,0.00339781237486609,0.00339781237486609,0.0,37,37,NA,age_log
